,Condition,Freeze,KeepTrain,Performance
0,Grow,No Freeze,0,0.4880999922752381
1,NoGrow,No Freeze,0,0.483599990606308
2,Normal,No Freeze,0,0.505299985408783
3,Grow,Freeze,0,0.4625999927520752
4,NoGrow,Freeze,0,0.4695999920368194
5,Normal,Freeze,0,0.4959000051021576
6,Grow,No Freeze,0,0.487199991941452
7,NoGrow,No Freeze,0,0.4909000098705292
8,Normal,No Freeze,0,0.5205000042915344
9,Grow,Freeze,0,0.4596999883651733
10,NoGrow,Freeze,0,0.4456999897956848
11,Normal,Freeze,0,0.5094000101089478
12,Grow,No Freeze,0,0.4693000018596649
13,NoGrow,No Freeze,0,0.498199999332428
14,Normal,No Freeze,0,0.4923000037670136
15,Grow,Freeze,0,0.4508000016212464
16,NoGrow,Freeze,0,0.4602999985218048
17,Normal,Freeze,0,0.513700008392334
18,Grow,No Freeze,0,0.4880000054836273
19,NoGrow,No Freeze,0,0.4921999871730805
20,Normal,No Freeze,0,0.5171999931335449
21,Grow,Freeze,0,0.4411999881267548
22,NoGrow,Freeze,0,0.4253999888896942
23,Normal,Freeze,0,0.5189999938011169
24,Grow,No Freeze,0,0.4921000003814697
25,NoGrow,No Freeze,0,0.4796999990940094
26,Normal,No Freeze,0,0.4984000027179718
27,Grow,Freeze,0,0.449400007724762
28,NoGrow,Freeze,0,0.4526999890804291
29,Normal,Freeze,0,0.5115000009536743
30,Grow,No Freeze,0,0.4968999922275543
31,NoGrow,No Freeze,0,0.4864000082015991
32,Normal,No Freeze,0,0.4887000024318695
33,Grow,Freeze,0,0.454800009727478
34,NoGrow,Freeze,0,0.4499000012874603
35,Normal,Freeze,0,0.5049999952316284
36,Grow,No Freeze,0,0.4788999855518341
37,NoGrow,No Freeze,0,0.5001999735832214
38,Normal,No Freeze,0,0.4968999922275543
39,Grow,Freeze,0,0.4810000061988831
40,NoGrow,Freeze,0,0.4772999882698059
41,Normal,Freeze,0,0.5012000203132629
42,Grow,No Freeze,0,0.4720999896526337
43,NoGrow,No Freeze,0,0.4889999926090241
44,Normal,No Freeze,0,0.4991999864578247
45,Grow,Freeze,0,0.4120999872684479
46,NoGrow,Freeze,0,0.4519000053405762
47,Normal,Freeze,0,0.5041000247001648
48,Grow,No Freeze,0,0.4754000008106232
49,NoGrow,No Freeze,0,0.4887000024318695
50,Normal,No Freeze,0,0.5005000233650208
51,Grow,Freeze,0,0.4287000000476837
52,NoGrow,Freeze,0,0.4555000066757202
53,Normal,Freeze,0,0.4878999888896942
54,Grow,No Freeze,0,0.4632999897003174
55,NoGrow,No Freeze,0,0.4830000102519989
56,Normal,No Freeze,0,0.5015000104904175
57,Grow,Freeze,0,0.4517000019550324
58,NoGrow,Freeze,0,0.4550999999046326
59,Normal,Freeze,0,0.5120999813079834
60,Grow,No Freeze,0,0.4975999891757965
61,NoGrow,No Freeze,0,0.4778000116348266
62,Normal,No Freeze,0,0.5055999755859375
63,Grow,Freeze,0,0.444599986076355
64,NoGrow,Freeze,0,0.4447999894618988
